line,pressure,composition (VLKZOEOYAKHREP-UHFFFAOYSA-N),adsorption (VLKZOEOYAKHREP-UHFFFAOYSA-N),total_adsorption
1,6.6E-05,1,0.931677,0.931677
2,0.000198074,1,5.59006,5.59006
3,0.000462172,1,12.4224,12.4224
4,0.000528197,1,18.323,18.323
5,0.000594222,1,25.1553,25.1553
6,0.000660246,1,30.1242,30.1242
7,0.000726271,1,36.0248,36.0248
8,0.000792296,1,42.8571,42.8571
9,0.000891333,1,45.9627,45.9627
10,0.00128748,1,49.3789,49.3789
11,0.00171664,1,51.5528,51.5528
12,0.00201375,1,52.795,52.795
13,0.00234387,1,54.0373,54.0373
14,0.00264099,1,54.3478,54.3478
15,0.0029381,1,55.5901,55.5901
16,0.00323521,1,56.5217,56.5217
17,0.00349931,1,57.1429,57.1429
18,0.00386244,1,57.764,57.764
19,0.00415955,1,58.6957,58.6957
20,0.00448968,1,59.3168,59.3168
21,0.00478679,1,59.9379,59.9379
22,0.00511691,1,60.559,60.559
23,0.005348,1,60.8696,60.8696
24,0.00557908,1,61.1801,61.1801
25,0.00590921,1,61.4907,61.4907
26,0.00620632,1,62.1118,62.1118
27,0.00653644,1,62.4224,62.4224
28,0.00686656,1,62.4224,62.4224
29,0.00719669,1,62.7329,62.7329
30,0.00752681,1,63.0435,63.0435
31,0.00782392,1,63.354,63.354
32,0.00815404,1,63.354,63.354
33,0.00848417,1,63.354,63.354
34,0.00881429,1,63.6646,63.6646
35,0.00914441,1,63.6646,63.6646
36,0.00947454,1,63.6646,63.6646
37,0.00980466,1,63.9752,63.9752
38,0.0100688,1,64.2857,64.2857
39,0.0102998,1,64.2857,64.2857
40,0.01063,1,64.2857,64.2857
41,0.0109601,1,64.5963,64.5963
42,0.0112902,1,64.5963,64.5963
43,0.0116203,1,64.5963,64.5963
44,0.0118514,1,64.9068,64.9068
45,0.0125777,1,64.9068,64.9068
46,0.0127758,1,65.528,65.528
47,0.0131059,1,65.528,65.528
48,0.013436,1,65.528,65.528
49,0.0137661,1,65.8385,65.8385
50,0.0140963,1,65.8385,65.8385
51,0.0144264,1,65.8385,65.8385
52,0.0147565,1,65.8385,65.8385
53,0.0150866,1,66.1491,66.1491
54,0.0154168,1,66.1491,66.1491
55,0.0157469,1,66.1491,66.1491
